player_id,team_id,player_name,position_group,rating
1,1,Luis Malagón,DEF,78
2,1,César Montes,DEF,77
3,1,Johan Vásquez,DEF,76
4,1,Jesús Gallardo,DEF,75
5,1,Kevin Álvarez,DEF,74
6,1,Edson Álvarez,MID,83
7,1,Luis Chávez,MID,78
8,1,Orbelín Pineda,MID,76
9,1,Santiago Giménez,ATT,84
10,1,Hirving Lozano,ATT,80
11,1,Raúl Jiménez,ATT,78
12,2,Jo Hyeon-woo,DEF,78
13,2,Kim Min-jae,DEF,86
14,2,Kim Young-gwon,DEF,76
15,2,Kim Tae-hwan,DEF,75
16,2,Seol Young-woo,DEF,74
17,2,Hwang In-beom,MID,78
18,2,Park Yong-woo,MID,76
19,2,Lee Jae-sung,MID,77
20,2,Son Heung-min,ATT,88
21,2,Lee Kang-in,ATT,83
22,2,Hwang Hee-chan,ATT,80
23,3,Ronwen Williams,DEF,76
24,3,Rushine De Reuck,DEF,72
25,3,Mothobi Mvala,DEF,70
26,3,Innocent Maela,DEF,69
27,3,Sibongiseni Mthethwa,DEF,68
28,3,Teboho Mokoena,MID,74
29,3,Thalente Mbatha,MID,70
30,3,Sphephelo Sithole,MID,69
31,3,Percy Tau,ATT,76
32,3,Lyle Foster,ATT,75
33,3,Evidence Makgopa,ATT,70
34,4,Jindřich Staněk,DEF,74
35,4,Vladimír Coufal,DEF,78
36,4,Robin Hranáč,DEF,76
37,4,Ladislav Krejčí,DEF,75
38,4,David Douděra,DEF,73
39,4,Tomáš Souček,MID,80
40,4,Lukáš Provod,MID,75
41,4,Antonín Barák,MID,74
42,4,Patrik Schick,ATT,82
43,4,Adam Hložek,ATT,76
44,4,Václav Černý,ATT,75
45,5,Maxime Crépeau,DEF,76
46,5,Alphonso Davies,DEF,86
47,5,Alistair Johnston,DEF,80
48,5,Moïse Bombito,DEF,75
49,5,Derek Cornelius,DEF,74
50,5,Stephen Eustáquio,MID,79
51,5,Ismaël Koné,MID,77
52,5,Samuel Piette,MID,74
53,5,Jonathan David,ATT,85
54,5,Tajon Buchanan,ATT,78
55,5,Cyle Larin,ATT,76
56,6,Yann Sommer,DEF,84
57,6,Manuel Akanji,DEF,83
58,6,Ricardo Rodríguez,DEF,76
59,6,Nico Elvedi,DEF,78
60,6,Silvan Widmer,DEF,75
61,6,Granit Xhaka,MID,85
62,6,Remo Freuler,MID,78
63,6,Xherdan Shaqiri,MID,80
64,6,Breel Embolo,ATT,78
65,6,Dan Ndoye,ATT,77
66,6,Zeki Amdouni,ATT,76
67,7,Meshaal Barsham,DEF,72
68,7,Pedro Miguel,DEF,70
69,7,Bassam Al-Rawi,DEF,69
70,7,Homam Ahmed,DEF,68
71,7,Jassem Gaber,DEF,67
72,7,Karim Boudiaf,MID,73
73,7,Abdulaziz Hatem,MID,71
74,7,Assim Madibo,MID,70
75,7,Akram Afif,ATT,80
76,7,Almoez Ali,ATT,77
77,7,Hassan Al-Haydos,ATT,75
78,8,Nikola Vasilj,DEF,75
79,8,Sead Kolašinac,DEF,76
80,8,Ermin Bičakčić,DEF,73
81,8,Toni Šunjić,DEF,72
82,8,Nermin Zolotić,DEF,70
83,8,Miralem Pjanić,MID,78
84,8,Rade Krunić,MID,75
85,8,Amar Dedić,MID,72
86,8,Edin Džeko,ATT,83
87,8,Ermedin Demirović,ATT,78
88,8,Haris Tabaković,ATT,76
89,9,Alisson,DEF,89
90,9,Marquinhos,DEF,87
91,9,Éder Militão,DEF,85
92,9,Danilo,DEF,82
93,9,Alex Sandro,DEF,79
94,9,Casemiro,MID,84
95,9,Bruno Guimarães,MID,85
96,9,Lucas Paquetá,MID,83
97,9,Vinícius Júnior,ATT,91
98,9,Rodrygo,ATT,87
99,9,Raphinha,ATT,86
100,10,Yassine Bounou,DEF,85
101,10,Achraf Hakimi,DEF,88
102,10,Romain Saïss,DEF,78
103,10,Nayef Aguerd,DEF,80
104,10,Noussair Mazraoui,DEF,79
105,10,Sofyan Amrabat,MID,81
106,10,Azzedine Ounahi,MID,78
107,10,Selim Amallah,MID,75
108,10,Hakim Ziyech,ATT,83
109,10,Youssef En-Nesyri,ATT,80
110,10,Brahim Díaz,ATT,82
111,11,Angus Gunn,DEF,74
112,11,Andy Robertson,DEF,83
113,11,Kieran Tierney,DEF,78
114,11,Grant Hanley,DEF,75
115,11,Scott McKenna,DEF,74
116,11,Scott McTominay,MID,82
117,11,John McGinn,MID,80
118,11,Billy Gilmour,MID,78
119,11,Che Adams,ATT,76
120,11,Lawrence Shankland,ATT,74
121,11,Tommy Conway,ATT,70
122,12,Josué Duverger,DEF,67
123,12,Jems Geffrard,DEF,70
124,12,Carlens Arcus,DEF,68
125,12,Kevens Auguste,DEF,66
126,12,Ricardo Ade,DEF,65
127,12,Derrick Etienne,MID,72
128,12,Danley Jean Jacques,MID,68
129,12,Steward Ceus,MID,66
130,12,Duckens Nazon,ATT,72
131,12,Frantzdy Pierrot,ATT,71
132,12,Wilde Donald Guerrier,ATT,70
133,13,Matt Turner,DEF,78
134,13,Antonee Robinson,DEF,80
135,13,Chris Richards,DEF,78
136,13,Tim Ream,DEF,76
137,13,Sergiño Dest,DEF,79
138,13,Weston McKennie,MID,82
139,13,Tyler Adams,MID,80
140,13,Yunus Musah,MID,78
141,13,Christian Pulisic,ATT,86
142,13,Folarin Balogun,ATT,78
143,13,Ricardo Pepi,ATT,76
144,14,Carlos Coronel,DEF,74
145,14,Gustavo Gómez,DEF,80
146,14,Alberto Espínola,DEF,72
147,14,Fabián Balbuena,DEF,75
148,14,Junior Alonso,DEF,74
149,14,Mathías Villasanti,MID,76
150,14,Andrés Cubas,MID,73
151,14,Diego Gómez,MID,74
152,14,Miguel Almirón,ATT,80
153,14,Ramón Sosa,ATT,74
154,14,Adam Bareiro,ATT,72
155,15,Mathew Ryan,DEF,76
156,15,Harry Souttar,DEF,78
157,15,Kye Rowles,DEF,74
158,15,Milos Degenek,DEF,72
159,15,Aziz Behich,DEF,73
160,15,Aaron Mooy,MID,76
161,15,Jackson Irvine,MID,75
162,15,Ajdin Hrustić,MID,75
163,15,Mitchell Duke,ATT,74
164,15,Craig Goodwin,ATT,73
165,15,Martin Boyle,ATT,72
166,16,Uğurcan Çakır,DEF,82
167,16,Merih Demiral,DEF,81
168,16,Çağlar Söyüncü,DEF,78
169,16,Zeki Çelik,DEF,77
170,16,Ferdi Kadıoğlu,DEF,79
171,16,Hakan Çalhanoğlu,MID,85
172,16,Orkun Kökçü,MID,80
173,16,İsmail Yüksek,MID,74
174,16,Arda Güler,ATT,82
175,16,Kerem Aktürkoğlu,ATT,78
176,16,Cengiz Ünder,ATT,77
177,17,Manuel Neuer,DEF,87
178,17,Antonio Rüdiger,DEF,85
179,17,Jonathan Tah,DEF,82
180,17,Joshua Kimmich,DEF,87
181,17,David Raum,DEF,78
182,17,İlkay Gündoğan,MID,84
183,17,Florian Wirtz,MID,87
184,17,Jamal Musiala,MID,88
185,17,Kai Havertz,ATT,84
186,17,Leroy Sané,ATT,82
187,17,Niclas Füllkrug,ATT,79
188,18,Hernán Galíndez,DEF,76
189,18,Piero Hincapié,DEF,81
190,18,Félix Torres,DEF,76
191,18,Pervis Estupiñán,DEF,80
192,18,Ángelo Preciado,DEF,75
193,18,Moisés Caicedo,MID,85
194,18,Jhegson Méndez,MID,76
195,18,Alan Franco,MID,73
196,18,Enner Valencia,ATT,78
197,18,Kevin Rodríguez,ATT,74
198,18,Gonzalo Plata,ATT,75
199,19,Yahia Fofana,DEF,76
200,19,Odilon Kossounou,DEF,80
201,19,Serge Aurier,DEF,76
202,19,Willy Boly,DEF,75
203,19,Ghislain Konan,DEF,73
204,19,Franck Kessié,MID,82
205,19,Seko Fofana,MID,80
206,19,Ibrahim Sangaré,MID,78
207,19,Sébastien Haller,ATT,80
208,19,Nicolas Pépé,ATT,78
209,19,Simon Adingra,ATT,77
210,20,Eloy Room,DEF,73
211,20,Cuco Martina,DEF,71
212,20,Vurnon Anita,DEF,70
213,20,Sean Klaiber,DEF,69
214,20,Leandro Bacuna,DEF,72
215,20,Juninho Bacuna,MID,75
216,20,Gino van Kessel,MID,70
217,20,Kenji Gorré,MID,69
218,20,Charlison Benschop,ATT,73
219,20,Rangelo Janga,ATT,72
220,20,Elson Hooi,ATT,70
221,21,Bart Verbruggen,DEF,79
222,21,Virgil van Dijk,DEF,89
223,21,Nathan Aké,DEF,82
224,21,Jurriën Timber,DEF,83
225,21,Denzel Dumfries,DEF,83
226,21,Frenkie de Jong,MID,87
227,21,Tijjani Reijnders,MID,83
228,21,Xavi Simons,MID,85
229,21,Cody Gakpo,ATT,85
230,21,Memphis Depay,ATT,82
231,21,Wout Weghorst,ATT,78
232,22,Zion Suzuki,DEF,77
233,22,Takehiro Tomiyasu,DEF,80
234,22,Ko Itakura,DEF,78
235,22,Hiroki Ito,DEF,78
236,22,Yukinari Sugawara,DEF,76
237,22,Wataru Endo,MID,80
238,22,Hidemasa Morita,MID,78
239,22,Ritsu Doan,MID,82
240,22,Takefusa Kubo,ATT,84
241,22,Kaoru Mitoma,ATT,83
242,22,Ayase Ueda,ATT,76
243,23,Aymen Dahmen,DEF,74
244,23,Montassar Talbi,DEF,76
245,23,Yassine Meriah,DEF,74
246,23,Mohamed Dräger,DEF,75
247,23,Wajdi Kechrida,DEF,72
